Leg,Site,H,Cor,T,   Sc,LL(m),CL(m),Top(mbsf),Comment
208,1264,A,  1,H,    1, 1.50, 1.50,     0.00,
208,1264,A,  1,H,    2, 1.50, 1.50,     1.50,
208,1264,A,  1,H,    3, 1.50, 1.50,     3.00,
208,1264,A,  1,H,    4, 1.50, 1.50,     4.50,
208,1264,A,  1,H,    5, 1.50, 1.50,     6.00,
208,1264,A,  1,H,    6, 1.00, 1.00,     7.50,
208,1264,A,  1,H,    7, 0.57, 0.57,     8.50,
208,1264,A,  1,H,CC(7), 0.28, 0.28,     9.07,
208,1264,A,  2,H,    1, 1.50, 1.50,     9.30,
208,1264,A,  2,H,    2, 1.50, 1.50,    10.80,
208,1264,A,  2,H,    3, 1.50, 1.50,    12.30,
208,1264,A,  2,H,    4, 1.50, 1.50,    13.80,
208,1264,A,  2,H,    5, 1.50, 1.50,    15.30,
208,1264,A,  2,H,    6, 1.50, 1.50,    16.80,
208,1264,A,  2,H,    7, 0.64, 0.64,    18.30,
208,1264,A,  2,H,CC(7), 0.20, 0.20,    18.94,
208,1264,A,  3,H,    1, 1.50, 1.50,    18.80,
208,1264,A,  3,H,    2, 1.50, 1.50,    20.30,
208,1264,A,  3,H,    3, 1.50, 1.50,    21.80,
208,1264,A,  3,H,    4, 1.50, 1.50,    23.30,
208,1264,A,  3,H,    5, 1.50, 1.50,    24.80,
208,1264,A,  3,H,    6, 1.20, 1.20,    26.30,
208,1264,A,  3,H,    7, 0.60, 0.60,    27.50,
208,1264,A,  3,H,CC(7), 0.24, 0.24,    28.10,
208,1264,A,  4,H,    1, 1.50, 1.50,    28.30,
208,1264,A,  4,H,    2, 1.50, 1.50,    29.80,
208,1264,A,  4,H,    3, 1.50, 1.50,    31.30,
208,1264,A,  4,H,    4, 1.50, 1.50,    32.80,
208,1264,A,  4,H,    5, 1.50, 1.50,    34.30,
208,1264,A,  4,H,    6, 1.50, 1.50,    35.80,
208,1264,A,  4,H,    7, 0.50, 0.50,    37.30,
208,1264,A,  4,H,CC(7), 0.28, 0.28,    37.80,
208,1264,A,  5,H,    1, 1.50, 1.50,    37.80,
208,1264,A,  5,H,    2, 1.50, 1.50,    39.30,
208,1264,A,  5,H,    3, 1.50, 1.50,    40.80,
208,1264,A,  5,H,    4, 1.50, 1.50,    42.30,
208,1264,A,  5,H,    5, 1.50, 1.50,    43.80,
208,1264,A,  5,H,    6, 1.50, 1.50,    45.30,
208,1264,A,  5,H,    7, 0.62, 0.62,    46.80,
208,1264,A,  5,H,CC(7), 0.18, 0.18,    47.42,
208,1264,A,  6,H,    1, 1.50, 1.50,    47.30,
208,1264,A,  6,H,    2, 1.50, 1.50,    48.80,
208,1264,A,  6,H,    3, 1.50, 1.50,    50.30,
208,1264,A,  6,H,    4, 1.00, 1.00,    51.80,
208,1264,A,  6,H,    5, 0.88, 0.88,    52.80,
208,1264,A,  6,H,    6, 1.30, 1.30,    53.68,
208,1264,A,  6,H,    7, 0.92, 0.92,    54.98,
208,1264,A,  6,H,CC(7), 0.39, 0.39,    55.90,
208,1264,A,  7,H,    1, 1.50, 1.50,    56.80,
208,1264,A,  7,H,    2, 1.50, 1.50,    58.30,
208,1264,A,  7,H,    3, 1.50, 1.50,    59.80,
208,1264,A,  7,H,    4, 1.50, 1.50,    61.30,
208,1264,A,  7,H,    5, 1.50, 1.50,    62.80,
208,1264,A,  7,H,    6, 1.50, 1.50,    64.30,
208,1264,A,  7,H,    7, 0.79, 0.79,    65.80,
208,1264,A,  7,H,CC(7), 0.26, 0.26,    66.59,
208,1264,A,  8,H,    1, 1.50, 1.50,    66.30,
208,1264,A,  8,H,    2, 1.50, 1.50,    67.80,
208,1264,A,  8,H,    3, 1.50, 1.50,    69.30,
208,1264,A,  8,H,    4, 1.50, 1.50,    70.80,
208,1264,A,  8,H,    5, 1.50, 1.50,    72.30,
208,1264,A,  8,H,    6, 1.50, 1.50,    73.80,
208,1264,A,  8,H,    7, 0.34, 0.34,    75.30,
208,1264,A,  8,H,CC(7), 0.18, 0.18,    75.64,
208,1264,A,  9,H,    1, 1.50, 1.50,    75.80,
208,1264,A,  9,H,    2, 1.50, 1.50,    77.30,
208,1264,A,  9,H,    3, 1.50, 1.50,    78.80,
208,1264,A,  9,H,    4, 1.50, 1.50,    80.30,
208,1264,A,  9,H,    5, 1.50, 1.50,    81.80,
208,1264,A,  9,H,    6, 1.38, 1.38,    83.30,
208,1264,A,  9,H,   CC, 0.17, 0.17,    84.68,
208,1264,A, 10,H,    1, 1.50, 1.50,    85.30,
208,1264,A, 10,H,    2, 1.50, 1.50,    86.80,
208,1264,A, 10,H,    3, 1.50, 1.50,    88.30,
208,1264,A, 10,H,    4, 1.50, 1.50,    89.80,
208,1264,A, 10,H,    5, 1.50, 1.50,    91.30,
208,1264,A, 10,H,    6, 1.47, 1.47,    92.80,
208,1264,A, 10,H,   CC, 0.11, 0.11,    94.27,
208,1264,A, 11,H,    1, 1.50, 1.50,    94.80,
208,1264,A, 11,H,    2, 1.50, 1.50,    96.30,
208,1264,A, 11,H,    3, 1.50, 1.50,    97.80,
208,1264,A, 11,H,    4, 1.50, 1.50,    99.30,
208,1264,A, 11,H,    5, 1.50, 1.50,   100.80,
208,1264,A, 11,H,    6, 1.50, 1.50,   102.30,
208,1264,A, 11,H,    7, 0.83, 0.83,   103.80,
208,1264,A, 11,H,CC(7), 0.17, 0.17,   104.63,
208,1264,A, 12,H,    1, 1.50, 1.50,   104.30,
208,1264,A, 12,H,    2, 1.50, 1.50,   105.80,
208,1264,A, 12,H,    3, 1.50, 1.50,   107.30,
208,1264,A, 12,H,    4, 1.50, 1.50,   108.80,
208,1264,A, 12,H,    5, 1.50, 1.50,   110.30,
208,1264,A, 12,H,    6, 1.50, 1.50,   111.80,
208,1264,A, 12,H,    7, 0.91, 0.91,   113.30,
208,1264,A, 12,H,CC(7), 0.12, 0.12,   114.21,
208,1264,A, 13,H,    1, 1.50, 1.50,   113.80,
208,1264,A, 13,H,    2, 1.50, 1.50,   115.30,
208,1264,A, 13,H,    3, 1.50, 1.50,   116.80,
208,1264,A, 13,H,    4, 1.50, 1.50,   118.30,
208,1264,A, 13,H,    5, 1.50, 1.50,   119.80,
208,1264,A, 13,H,    6, 1.00, 1.00,   121.30,
208,1264,A, 13,H,    7, 0.72, 0.72,   122.30,
208,1264,A, 13,H,CC(7), 0.21, 0.21,   123.02,
208,1264,A, 14,H,    1, 1.50, 1.50,   123.30,
208,1264,A, 14,H,    2, 1.50, 1.50,   124.80,
208,1264,A, 14,H,    3, 1.50, 1.50,   126.30,
208,1264,A, 14,H,    4, 1.50, 1.50,   127.80,
208,1264,A, 14,H,    5, 1.50, 1.50,   129.30,
208,1264,A, 14,H,    6, 1.50, 1.50,   130.80,
208,1264,A, 14,H,    7, 0.41, 0.41,   132.30,"0/0"
208,1264,A, 14,H,CC(7), 0.24, 0.24,   132.71,
208,1264,A, 15,H,    1, 1.50, 1.50,   132.80,
208,1264,A, 15,H,    2, 1.50, 1.50,   134.30,
208,1264,A, 15,H,    3, 1.50, 1.50,   135.80,
208,1264,A, 15,H,    4, 1.50, 1.50,   137.30,
208,1264,A, 15,H,    5, 1.50, 1.50,   138.80,
208,1264,A, 15,H,    6, 1.00, 1.00,   140.30,
208,1264,A, 15,H,    7, 0.68, 0.68,   141.30,
208,1264,A, 15,H,CC(7), 0.19, 0.19,   141.98,
208,1264,A, 16,H,    1, 1.50, 1.50,   142.30,
208,1264,A, 16,H,    2, 1.50, 1.50,   143.80,
208,1264,A, 16,H,    3, 1.50, 1.50,   145.30,
208,1264,A, 16,H,    4, 1.50, 1.50,   146.80,
208,1264,A, 16,H,    5, 1.50, 1.50,   148.30,
208,1264,A, 16,H,    6, 1.50, 1.50,   149.80,
208,1264,A, 16,H,    7, 0.60, 0.60,   151.30,
208,1264,A, 16,H,CC(7), 0.28, 0.28,   151.90,
208,1264,A, 17,H,    1, 1.50, 1.50,   151.80,
208,1264,A, 17,H,    2, 1.50, 1.50,   153.30,
208,1264,A, 17,H,    3, 1.50, 1.50,   154.80,
208,1264,A, 17,H,    4, 1.50, 1.50,   156.30,
208,1264,A, 17,H,    5, 1.50, 1.50,   157.80,
208,1264,A, 17,H,    6, 1.20, 1.20,   159.30,
208,1264,A, 17,H,    7, 0.65, 0.65,   160.50,"0/0"
208,1264,A, 17,H,CC(7), 0.10, 0.10,   161.15,"1/0 All to PAL."
208,1264,A, 18,H,    1, 1.50, 1.50,   161.30,
208,1264,A, 18,H,    2, 1.50, 1.50,   162.80,
208,1264,A, 18,H,    3, 1.50, 1.50,   164.30,
208,1264,A, 18,H,    4, 1.50, 1.50,   165.80,
208,1264,A, 18,H,    5, 1.50, 1.50,   167.30,
208,1264,A, 18,H,    6, 1.50, 1.50,   168.80,
208,1264,A, 18,H,    7, 0.63, 0.63,   170.30,
208,1264,A, 18,H,CC(N), 0.10, 0.10,   170.93,"0/0 All to PAL."
208,1264,A, 19,H,    1, 1.50, 1.50,   170.80,
208,1264,A, 19,H,    2, 1.50, 1.50,   172.30,
208,1264,A, 19,H,    3, 1.50, 1.50,   173.80,
208,1264,A, 19,H,    4, 1.50, 1.50,   175.30,
208,1264,A, 19,H,    5, 1.50, 1.50,   176.80,
208,1264,A, 19,H,    6, 1.35, 1.35,   178.30,
208,1264,A, 19,H,   CC, 0.16, 0.16,   179.65,
208,1264,A, 20,H,    1, 1.50, 1.50,   180.30,
208,1264,A, 20,H,    2, 1.50, 1.50,   181.80,
208,1264,A, 20,H,    3, 1.50, 1.50,   183.30,
208,1264,A, 20,H,    4, 1.50, 1.50,   184.80,
208,1264,A, 20,H,    5, 1.50, 1.50,   186.30,
208,1264,A, 20,H,    6, 1.50, 1.50,   187.80,
208,1264,A, 20,H,    7, 0.79, 0.79,   189.30,
208,1264,A, 20,H,   CC, 0.13, 0.13,   190.09,
208,1264,A, 21,H,    1, 1.50, 1.50,   189.80,
208,1264,A, 21,H,    2, 1.50, 1.50,   191.30,
208,1264,A, 21,H,    3, 1.50, 1.50,   192.80,
208,1264,A, 21,H,    4, 1.50, 1.50,   194.30,
208,1264,A, 21,H,    5, 1.50, 1.50,   195.80,
208,1264,A, 21,H,    6, 1.39, 1.39,   197.30,"0/0"
208,1264,A, 21,H,   CC, 0.18, 0.18,   198.69,
208,1264,A, 22,H,    1, 1.50, 1.50,   199.30,
208,1264,A, 22,H,    2, 1.50, 1.50,   200.80,
208,1264,A, 22,H,    3, 1.50, 1.50,   202.30,
208,1264,A, 22,H,    4, 1.50, 1.50,   203.80,
208,1264,A, 22,H,    5, 1.50, 1.50,   205.30,
208,1264,A, 22,H,    6, 1.50, 1.50,   206.80,
208,1264,A, 22,H,    7, 0.48, 0.48,   208.30,
208,1264,A, 22,H,CC(7), 0.19, 0.19,   208.78,
208,1264,A, 23,H,    1, 1.50, 1.50,   208.80,
208,1264,A, 23,H,    2, 1.50, 1.50,   210.30,
208,1264,A, 23,H,    3, 1.50, 1.50,   211.80,
208,1264,A, 23,H,    4, 1.50, 1.50,   213.30,
208,1264,A, 23,H,    5, 1.50, 1.50,   214.80,
208,1264,A, 23,H,    6, 1.20, 1.20,   216.30,
208,1264,A, 23,H,    7, 0.72, 0.72,   217.50,
208,1264,A, 23,H,CC(7), 0.15, 0.15,   218.22,
208,1264,A, 24,H,    1, 1.50, 1.50,   218.30,
208,1264,A, 24,H,    2, 1.50, 1.50,   219.80,
208,1264,A, 24,H,    3, 1.50, 1.50,   221.30,
208,1264,A, 24,H,    4, 1.50, 1.50,   222.80,
208,1264,A, 24,H,    5, 1.50, 1.50,   224.30,
208,1264,A, 24,H,    6, 1.50, 1.50,   225.80,
208,1264,A, 24,H,    7, 0.75, 0.75,   227.30,
208,1264,A, 24,H,CC(7), 0.25, 0.25,   228.05,
208,1264,A, 25,H,    1, 1.50, 1.50,   227.80,
208,1264,A, 25,H,    2, 1.50, 1.50,   229.30,
208,1264,A, 25,H,    3, 0.82, 0.82,   230.80,
208,1264,A, 25,H,CC(3), 0.29, 0.29,   231.62,
208,1264,A, 26,H,    1, 1.50, 1.50,   237.30,
208,1264,A, 26,H,    2, 1.50, 1.50,   238.80,
208,1264,A, 26,H,    3, 1.50, 1.50,   240.30,
208,1264,A, 26,H,    4, 1.50, 1.50,   241.80,
208,1264,A, 26,H,    5, 1.50, 1.50,   243.30,
208,1264,A, 26,H,    6, 1.27, 1.27,   244.80,
208,1264,A, 26,H,CC(6), 0.19, 0.19,   246.07,
208,1264,A, 27,H,    1, 1.50, 1.50,   246.80,
208,1264,A, 27,H,    2, 1.01, 1.01,   248.30,
208,1264,A, 27,H,CC(2), 0.35, 0.35,   249.31,
208,1264,A, 28,H,    1, 1.50, 1.50,   256.30,
208,1264,A, 28,H,    2, 1.50, 1.50,   257.80,
208,1264,A, 28,H,    3, 1.50, 1.50,   259.30,"0/0"
208,1264,A, 28,H,    4, 0.69, 0.69,   260.80,
208,1264,A, 28,H,CC(4), 0.28, 0.28,   261.49,"0/0"
208,1264,A, 29,H,    1, 1.50, 1.50,   261.70,
208,1264,A, 29,H,    2, 1.50, 1.50,   263.20,
208,1264,A, 29,H,    3, 1.50, 1.50,   264.70,
208,1264,A, 29,H,    4, 1.50, 1.50,   266.20,
208,1264,A, 29,H,    5, 1.50, 1.50,   267.70,
208,1264,A, 29,H,    6, 1.50, 1.50,   269.20,
208,1264,A, 29,H,    7, 0.69, 0.69,   270.70,
208,1264,A, 29,H,CC(7), 0.13, 0.13,   271.39,
208,1264,A, 30,H,    1, 1.50, 1.50,   271.20,
208,1264,A, 30,H,    2, 1.50, 1.50,   272.70,
208,1264,A, 30,H,    3, 1.50, 1.50,   274.20,
208,1264,A, 30,H,    4, 1.50, 1.50,   275.70,
208,1264,A, 30,H,    5, 1.50, 1.50,   277.20,
208,1264,A, 30,H,    6, 1.50, 1.50,   278.70,
208,1264,A, 30,H,    7, 0.55, 0.55,   280.20,
208,1264,A, 30,H,CC(7), 0.16, 0.16,   280.75,
208,1264,B,  1,H,    1, 1.50, 1.50,     0.00,
208,1264,B,  1,H,    2, 1.50, 1.50,     1.50,
208,1264,B,  1,H,    3, 1.50, 1.50,     3.00,
208,1264,B,  1,H,    4, 1.50, 1.50,     4.50,
208,1264,B,  1,H,    5, 1.26, 1.26,     6.00,
208,1264,B,  1,H,CC(5), 0.12, 0.12,     7.26,
208,1264,B,  2,H,    1, 1.50, 1.50,     7.30,
208,1264,B,  2,H,    2, 1.50, 1.50,     8.80,
208,1264,B,  2,H,    3, 1.50, 1.50,    10.30,
208,1264,B,  2,H,    4, 1.50, 1.50,    11.80,
